Id,وقت صعود المركبة,وقت النزول من المركبة,Pickup LONGITUDE,Pickup LATITUDE,Drop off LATITUDE,Drop off LONGTIDE,المسافة,المبلغ المدفوع,المبلغ المدعوم,المبلغ الإجمالي,تاريخ الرحلة
19,2021-01-01 00:13:25,2021-01-01 00:43:41,46.65,24.79,24.77,46.8,15.676,9.45,37.79,47.24,2021-01-01 00:44:01
20,2021-01-01 00:02:50,2021-01-01 00:46:47,40.44,21.27,21.29,40.45,5.528,5.95,23.79,29.74,2021-01-01 00:47:08
21,2021-01-01 00:34:23,2021-01-01 00:49:11,50.05,26.47,26.56,50.03,7.992,4.98,19.92,24.9,2021-01-01 00:49:30
22,2021-01-01 00:43:37,2021-01-01 00:54:10,39.21,21.5,21.47,39.24,4.396,3.32,13.26,16.58,2021-01-01 00:54:32
23,2021-01-01 00:33:09,2021-01-01 00:58:48,46.57,24.76,24.79,46.68,13.91,8.32,33.3,41.62,2021-01-01 00:59:07
24,2021-01-01 00:45:34,2021-01-01 01:01:28,39.18,21.75,21.73,39.19,2.138,2.86,11.45,14.31,2021-01-01 01:01:47
25,2021-01-01 00:42:05,2021-01-01 01:03:23,39.59,24.49,24.43,39.49,13.554,6.94,27.74,34.68,2021-01-01 01:03:44
26,2021-01-01 00:45:44,2021-01-01 01:04:54,39.21,21.5,21.56,39.24,10.722,6.31,25.26,31.57,2021-01-01 01:05:14
27,2021-01-01 14:14:40,2021-01-01 14:30:15,39.11,21.6,21.51,39.17,10.543,6.14,24.58,30.72,2021-01-01 14:30:34
28,2021-01-01 13:56:47,2021-01-01 14:31:15,46.8,24.84,24.61,46.5,28.179,14.9,59.58,74.48,2021-01-01 14:31:36
29,2021-01-01 14:21:32,2021-01-01 14:31:26,46.78,24.74,24.77,46.75,3.268,2.99,11.95,14.94,2021-01-01 14:31:44
30,2021-01-01 14:09:35,2021-01-01 14:31:41,39.2,21.45,21.55,39.16,11.803,7.16,28.66,35.82,2021-01-01 14:32:03
31,2021-01-01 14:04:29,2021-01-01 14:33:40,50.12,26.45,26.34,50.04,13.554,8.04,32.17,40.21,2021-01-01 14:34:01
32,2021-01-01 14:19:51,2021-01-01 14:34:28,39.78,21.36,21.39,39.88,9.411,5.74,22.96,28.7,2021-01-01 14:34:48
33,2021-01-01 13:52:33,2021-01-01 14:36:45,46.64,24.52,24.77,46.72,28.767,15.78,63.14,78.92,2021-01-01 14:37:06
34,2021-01-01 14:24:45,2021-01-01 14:37:22,39.17,21.63,21.61,39.15,2.74,2.91,11.66,14.57,2021-01-01 14:37:41
35,2021-01-01 14:26:09,2021-01-01 14:40:15,39.21,21.61,21.59,39.22,6.587,4.62,18.48,23.1,2021-01-01 14:40:32
36,2021-01-01 14:25:13,2021-01-01 14:41:28,39.2,21.58,21.52,39.17,8.219,5.24,20.96,26.2,2021-01-01 14:41:47
37,2021-01-01 14:15:40,2021-01-01 14:41:50,39.3,21.46,21.59,39.22,14.19,8.24,32.95,41.19,2021-01-01 14:42:10
38,2021-01-01 14:35:25,2021-01-01 14:41:58,50.19,26.27,26.28,50.22,2.554,2.28,9.14,11.42,2021-01-01 14:42:16
39,2021-01-01 14:23:41,2021-01-01 14:42:59,39.17,21.61,21.62,39.11,7.67,5.2,20.81,26.01,2021-01-01 14:43:23
40,2021-01-01 14:32:52,2021-01-01 14:43:24,44.01,26.11,26.09,43.97,5.802,3.68,14.73,18.41,2021-01-01 14:43:43
41,2021-01-01 14:30:44,2021-01-01 14:43:39,39.23,21.64,21.59,39.22,5.267,4.13,16.54,20.67,2021-01-01 14:43:59
42,2021-01-01 14:20:10,2021-01-01 14:44:12,42.74,18.31,18.23,42.57,15.74,8.82,35.28,44.1,2021-01-01 14:44:32
43,2021-01-01 14:31:31,2021-01-01 14:44:39,50.11,26.44,26.41,50.09,4.06,3.26,13.06,16.32,2021-01-01 14:45:02
44,2021-01-01 14:29:48,2021-01-01 14:46:40,41.46,20.01,20.02,41.46,5.112,4.07,16.27,20.34,2021-01-01 14:46:59
45,2021-01-01 14:44:06,2021-01-01 14:48:04,50.03,26.39,26.39,50.04,0.764,1.98,7.92,9.9,2021-01-01 14:48:22
46,2021-01-01 14:39:12,2021-01-01 14:48:17,50.17,26.3,26.3,50.21,4.384,3.18,12.72,15.9,2021-01-01 14:48:36
47,2021-01-01 14:21:34,2021-01-01 14:50:24,49.99,26.51,26.3,50.17,23.471,11.88,47.5,59.38,2021-01-01 14:50:43
48,2021-01-01 14:35:09,2021-01-01 14:50:32,46.78,24.81,24.76,46.72,9.931,6.06,24.26,30.32,2021-01-01 14:50:50
49,2021-01-01 14:48:24,2021-01-01 14:52:00,46.56,24.63,24.63,46.56,1.187,2.07,8.26,10.33,2021-01-01 14:52:19
50,2021-01-01 14:34:31,2021-01-01 14:52:17,39.29,21.41,21.48,39.23,10.711,6.4,25.61,32.01,2021-01-01 14:52:36
51,2021-01-01 14:28:59,2021-01-01 14:53:05,46.61,24.55,24.71,46.67,16.822,9.65,38.59,48.24,2021-01-01 14:53:25
52,2021-01-01 14:42:50,2021-01-01 14:55:12,39.78,21.36,21.42,39.78,5.791,4.05,16.22,20.27,2021-01-01 14:55:32
53,2021-01-01 16:35:28,2021-01-01 16:51:54,46.68,24.8,24.79,46.61,7.78,5.7,22.8,28.5,2021-01-01 16:52:13
54,2021-01-01 16:31:47,2021-01-01 16:52:24,47.27,24.13,24.15,47.34,7.141,5.65,22.62,28.27,2021-01-01 16:52:43
55,2021-01-01 16:39:18,2021-01-01 16:52:24,46.77,24.77,24.73,46.68,6.674,4.59,18.34,22.93,2021-01-01 16:52:44
56,2021-01-01 16:42:10,2021-01-01 16:52:37,39.3,21.44,21.45,39.27,2.65,2.73,10.93,13.66,2021-01-01 16:52:55
57,2021-01-01 16:49:30,2021-01-01 16:52:46,39.16,21.62,21.61,39.15,0.693,2.33,9.32,11.65,2021-01-01 16:53:04
